543,"הר הצופים - בי""ח הדסה, האוניברסיטה העברית, מעונות רזניק","Mt. Scopus - Hadassah Hospital, The Hebrew University, Reznik Dormitories  "
81,"ממילא, מורשה (מוסררה)","Mamilla, Morasha (Musrara)"
811,"ממילא, כפר דוד - רח' יצחק קריב ","Mamila, David's Village - 
Yitzhak Kariv st."
812,מורשה (מוסררה),Morasha (Musrara)
82,"גאולה, מאה שערים","Geula, Me'a She'arim"
821,"מאה שערים, בתי אונגרין","Me'a She'arim, Batei Ungarin"
822,"בית ישראל החדשה,  בתי מילנר","Beit Yisrael (new), Batei Milner"
823,בית ישראל הישנה - רח' לייב דיין,Beit Yisrael (old) - Leib Dayan st.
824,שכונת הבוכרים - רח' תלמודי אברהם,"Habukharim Quarter, Talmudi Avraham st."
825,"גאולה, שערי פינה","Ge'ula, Sha'arei Pinna"
826,"כרם אברהם - רח' צפניה, רח' עמוס","Kerem Avraham - Tzefanya st., Amos st."
83,"מקור ברוך, זכרון משה","Mekor Baruch, Zichron Moshe"
831,מתחם שנלר ,Schneller Compound
834,מקור ברוך (מזרח) - רח' תחכמוני,Mekor Barukh (east) - Tachkemoni st.
832,מקור ברוך (מערב) - רח' החשמונאים,Mekor Barukh (west) - Hahashmona'im st.
833,מחנה יהודה - רח' נבון,Mahane Yehuda - Navon st.
835,"אחווה,  יגיע כפיים - רח' הרב יעקב מאיר","Ahva, Yegi'a Kappayim, Harav Ya'akov Meir st.  "
836,זכרון משה - רח' פינס,Zikhron Moshe - Pines st.
84,מרכז העיר,City Center
841,"רח' שטראוס, רח' החבצלת, רח' הרב קוק","Straus st., Hahavatzelet st., Harav Kook st."
842,"שכונת החבשים - רח' אתיופיה, רח' שאול אדלר ","Hahabashim - Ethiopia st., Shaul Adler st."
843,קריית העירייה (מגרש הרוסים) - רח' שלומציון המלכה,"Municipality (Russian Compound), 
Queen Shlomzion st."
846,גן העצמאות,Gan Ha'atsma'ut
847,"רח' שמואל הנגיד, רח' בצלאל","Shmu'el Hanagid st., Bezalel st."
848,"נחלת שבעה, חצר פיינגולד, ""המשולש"" - רח' בן יהודה, רח' המלך ג'ורג'","Nahalat Shiv'a, Feingold Court, ""The Triangle"" - Ben-Yehuda st., King George st."
85,"נחלאות, זכרונות","Nahlaot, Zichronot"
851,"כנסת , בתי ברוידא, רח' הלבנון ","Kenesset, Batei Broyda, Halevanon st."
852,"אוהל משה, מזכרת משה","Ohel Moshe, Mazkeret Moshe"
853,"בית יעקב, מרכז כלל,
שוק מחנה יהודה","Beit Ya'akov, Klal Center,
Mahane Yehuda Market"
854,"זכרון יוסף, שבת צדק, רח' הירקון","Zichron Yosef, Shevet Zedeq,
Hayarkon st."
855,"זכרון טוביה, נחלת ציון, רח' שילה","Zichron Tuviya, Nahalat Zion, Shilo st."
856,נחלת אחים - רח' המדרגות,Nahalat Ahim - Hamadregot st.
857,נחלת אחים - רח' ציפורי,Nahalat Ahim - Tzippori st.
858,"נחלת צדוק, שערי חסד","Nahalat Tzadoq, Sha'arei Hesed"
86,רחביה,Rehavya
861,קרית וולפסון,Kiryat Wolfson
862,רחביה (צפון) - רח' אברבנאל,Rehavya (north) - Abrabanel st.
863,"רחביה (דרום) - רח' בנימין מטודלה,
שד' בן מימון ","Rehavya (south) - Binyamin 
Mitudela st., Ben Maimon st."
864,"קרית שמואל - רח' האר""י",Kiryat Shemuel - Ha'ari st.
91,רוממה,Romema
911,"קרית צאנז, קרית בעלזא (צפון) - רח' מנחם משיב","Kiryat Sanz, Kiryat Belz (north) - Menahem Meshiv st."
912,קרית בעלזא (דרום) - רח' קדושת אהרון,Kiryat Belz (south) - Kedushat Aharon st.
913,"קרית מטרסדורף, אונסדורף (שבע קהילות) (צפון) - רח' פנים מאירות","Kiryat Matersdorf, Unsdorf (Sheva Kehilot) (north) - Panim Meirot st."
914,"רוממה, אזור התעשייה, עץ חיים, תחנה מרכזית","Romema, Industrial Area, Etz Haim, Central Bus Station"
915,"קרית מטרסדורף (דרום),  רוממה עילית - 
רח' זכרון יעקב","Kiryat Matersdorf (south),
Romema Illit - Zichron Ya'akov st,"
916,מי נפתוח (ליפתא),Mei Naftoah (Lifta)
92,גבעת שאול,Giv'at Shaul
921,גבעת שאול (צפון) - רח' עזריאל,Giv'at Sha'ul (north) - Azri'el st.
922,"גבעת שאול (מזרח) - בית היתומים דיסקין, רח' בעל השאילתות","Giv'at Sha'ul (east) -  Diskin Orphanage, Ba'al Hashe'iltot st."
923,גבעת שאול (מרכז) - רח' נג'ארה,Giv'at Sha'ul (center) - Najara st. 
924,"אזור תעשייה גבעת שאול, הר המנוחות, כנפי נשרים, גבעת שאול ב'","Giv'at Sha'ul Industrial Area, Har Hamenuhot, Kanfei Nesharim, Giv'at Shaul B"
925,"מוצא תחתית, רמת מוצא","Motza Tahtit, Ramat Motza"
93,הר נוף,Har Nof 
931,הר נוף (צפון-מערב) - רח' הרב דוד רוזנטל,Har Nof (north-west) - Rabbi David Rosental st.
932,"הר נוף (מרכז) - רח' מנחם מנדל משקלוב, כפר שאול","Har Nof (center) - Menahem Mendel
Mishklov st., Kfar Shaul"
933,הר נוף (דרום-מזרח) - רח' חכם שמעון אגסי,Har Nof (south-east) - Hakham Shim'on Agasi st.
934,הר נוף (דרום - מערב) - רח' אהרן בראנד,Har Nof (south-west) - Aron Brand st.
101,"קרית משה, בית הכרם","Kiryat Moshe,  Beit Hakerem"
1011,יפה נוף - רח' הארזים,Yefe Nof - Ha'arazim st.
1012,רמת בית הכרם - רח' קול משה,Ramat Beit Hakerem - Moshe Kol st.
1013,"בית הכרם (דרום) - רח' הבנאי,
גבעת בית הכרם","Beit Hakerem (south) - Habannai st.,
Giv'at Beit Hakerem"
1014,בית הכרם (צפון) - רח' בית הכרם,Beit Hakerem (north) - Beit Hakerem st.
1015," קרית משה (דרום) - שד' המאירי, המקשר","Kiryat Moshe (south) - Hame'iri blvd.,
Hamekasher"
1016,"קרית משה (מזרח) - רח' דגל ראובן, מוסד הרב קוק","Kiryat Moshe (east) - Degel Reuven st., Harav Kook Institute"
102,גבעת רם,Giv'at Ram
1021,"קרית בן גוריון (קרית הממשלה) - דרך רופין, רח' יצחק רבין",Kiryat Ben-Gurion (Government compound) - Rupin rd. Yitzhak Rabin st.
1022,"ניות, נווה גרנות, נווה שאנן, רח' יהושע ייבין","Nayot, Neve Granot, Neve Sha'anan, Joshua Yeivin"
1024,"גבעת רם (דרום), קרית האוניברסיטה העברית","Giv'at Ram (south) -
The Hebrew University Campus"
103,בית וגן,Bayit Vagan
1031,בית וגן (מזרח) - רח' מיכלין,Bayit Vagan (east) - Michlin st.
1032,"בית וגן (צפון - מזרח), 
מרכז רפואי שערי צדק","Bayit Vagan (north - east), 
Sha'are Zedek Medical Centre"
1034,"בית וגן (מרכז), רח' החיד""א",Bayit Vagan (center) - Hahida st.
1035,"בית וגן (מערב),  מורדות בית וגן,
רח' תורה ועבודה","Bayit Vagan (west), Bayit Vagan slopes
Tora Va'avoda st."
104,"רמת שרת, רמת דניה","Ramat Sharet, Ramat Denya"
1041,רמת דניה - רח' קובובי,Ramat Denya - Kubovy st.
1042,"רמת שרת (מערב) -
רח' הרב יוסף חיים שרים","Ramat Sharet (west) -
Harav Yosef Haim shrem st."
1043,רמת שרת (מזרח) - רח' פרץ ברנשטיין,Ramat Sharet (east) - Peretz Bernstein st.
1044,"מתחם הולילנד, רח' גדעון האוזנר, רח' מיכאל אבי-יונה","Holyland Compound, Gideon Hausner st., Michael Avi-Yonah st."
,,
111,"עין כרם,  קרית הדסה","Ein Kerem, Kiryat Hadassah"
1114,"המרכז הרפואי הדסה עין כרם,
  קרית הדסה","Hadassah Medical Center Ein Kerem, 
Kiryat Hadassah"
1115,"עין כרם, מוסקוביה","Ein Kerem, Moscovia"
1116,כפר שלמא - אלווין ירושלים (הכפר השוודי),Kefar Salma - Elwyn Jerusalem (The Swedish Village)
112,קרית היובל (צפון),Kiryat Hayovel (north)
1121,קרית היובל (דרום - מערב) - רח' פסח חברוני,"Kiryat Hayovel (south-west) -
Pesach Hevroni st."
1122,קרית היובל (צפון - מערב) - רח' שמריהו לוין ,"Kiryat Hayovel (north-west) -
Shmaryahu Levin st."
1123,"קרית היובל (מרכז) - שיכון ותיקים, רח' אנילביץ","Kiryat Hayovel (center) -  Shikun Vatikim, Anielewicz st."
1124,"קרית היובל (צפון - מזרח) - שיכון מומחים, רח' זנגויל","Kiryat Hayovel (north-east) - Shikun Mumchim, Zangvil st."
113,קרית היובל (דרום),Kiryat Hayovel (south)
1131,"קרית היובל (דרום - מזרח) - רח' גואטמאלה, מרכז מסחרי","Kiryat Hayovel (south-east) - Guatemala st., Shopping Center"
1132,קרית היובל (דרום) - רח' אברהם שטרן,"Kiryat Hayovel (south) -
Avraham Stern st."
1133,"קרית היובל (מערב) - רח' פלורנטין, מתנ""ס פיליפ לאון","Kiryat Hayovel (west) - Florentin st., Philip Leon Community Center"
1134,עיר גנים א' - רח' הנרד,Ir Ganim A - Hanerd st.
114,"קרית מנחם, עיר גנים","Kiryat Menahem, Ir Ganim"
1141,"מצפה מנחם, קרית מנחם","Mitzpe Menahem, Kiryat Menahem"
1142,עיר גנים ב' - רח' הרפובליקה הדומיניקנית,Ir Ganim B - Dominican Republic St.
1143,עיר גנים ג' - רח'  הנורית,Ir Ganim C - Hanurit St.
1144,גבעת משואה,Giv'at Massua
1145,מורדות רכס לבן,Rekhes Lavan slopes
1147,"מורדות מנחת, מנחת (מלחה) - רח' קדושי סטרומה, רח' האייל","Manahat slopes, Manahat (Malha)- Kedoshei Struma st., Ha-Ayal st."
121,גונן (קטמון) א' - ט',Gonen (Katamon) A - I
1211,גונן (קטמון) ט' - רח' בר יוחאי,Gonen (Katamon) I - Bar Yohai st.
1212,"גונן (קטמון) ח' - רח' יצחק שדה, רח' השומר","Gonen (Katamon) H -  Yitzhak Sadeh st., Hashomer st."
1213,פת - רח' ברל לוקר,Pat - Berl Locker st.
1214,"גונן (קטמון) ב', ג', ד' - רח' קנאי הגליל","Gonen (Katamon) B,C,D - Kannae
Hagalil st."
1215,"גונן (קטמון) א', ו' - רח' אנטיגונוס,
רח' רשב""ג","Gonen (Katamon) A, F - Antigonus st.,
Rashbag st."
1216,גונן (קטמון הישנה) (דרום) - רח' רבי מאיר,"Gonen (Old Katamon) (south) - 
Rabbi Meir st."
